,Unnamed: 0,index,maxAutoCorrelation,numberofTxns,stDevEosSent,numActiveDays,maxTxnsDay,minTxnsDay,avgTxnsPerActiveDays,numTxnsWeekdays,numTxnsWeekends,numActiveDaysWeekdays,numActiveWeekends,numActiveHours,maxTxnsHour,minTxnsHour,txnsPerActiveHour,numActiveHoursWeekdays,numActiveHoursWeekends,label,pred_y
65,65,atticussilas,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
66,66,juanroderick,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
67,67,braidentrace,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
68,68,calebtrystan,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
69,69,tylerbrenton,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
70,70,jaysonkaeden,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
71,71,jaylinporter,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
72,72,eastonjorden,0.9387679113490566,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,1.0,1.0
73,73,tobiasgunner,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
74,74,landyngerald,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
75,75,jordanjagger,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
76,76,brysonkonner,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
77,77,skylerharold,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
78,78,beauterrence,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
